SOURCE,TARGET,POSITION,CATEGORY
BABEL RESOURCES,SUTTA DARMA KARNADJAJA,KOMISARIS UTAMA,INDIVIDU
BABEL RESOURCES,RUDY WIJAYA LIONG,KOMISARIS,INDIVIDU
BABEL RESOURCES,APE NIAGATA TJANDRA,,INDIVIDU
BABEL RESOURCES,ANDRIANUS DAVID SIM,DIREKTUR,INDIVIDU
BABEL RESOURCES,TONI SISWOYUDHO,DIREKTUR UTAMA,INDIVIDU
BABEL RESOURCES,PT ANT INTERNASIONAL,BADAN HUKUM,PERUSAHAAN
GARUDA ARTHA RESOURCES,HERRY SANTOSO,DIREKTUR,INDIVIDU
GARUDA ARTHA RESOURCES,SANTOSO SOETANTO,DIREKTUR UTAMA,INDIVIDU
GARUDA ARTHA RESOURCES,RATNA SHANTI SOETANTO,KOMISARIS,INDIVIDU
GARUDA ARTHA RESOURCES,SRI REDJEKI SOETANTO,,INDIVIDU
TRINUSA SILIKA INDONESIA,DUDY CHRISTIAN,KOMISARIS,INDIVIDU
TRINUSA SILIKA INDONESIA,ACHMAD FEBBY FADILLAH,KOMISARIS UTAMA,INDIVIDU
TRINUSA SILIKA INDONESIA,SURIYANTO,DIREKTUR UTAMA,INDIVIDU
TRINUSA SILIKA INDONESIA,ANDI DEBBI YUDHISTA ASAPA,KOMISARIS,INDIVIDU
TRINUSA SILIKA INDONESIA,PT TRINUSA BARA UTAMA,BADAN HUKUM,PERUSAHAAN
TRINUSA SILIKA INDONESIA,PT ENERGITAMA SOLUSINDO LESTARI,BADAN HUKUM,PERUSAHAAN
TRINUSA SILIKA INDONESIA,AFIN,DIREKTUR,INDIVIDU
TRINUSA SILIKA INDONESIA,MOHAMMAD GENTHA PUTRA,DIREKTUR,INDIVIDU
BUMI HERO PERKASA,KARDI DJAJA,KOMISARIS,INDIVIDU
BUMI HERO PERKASA,SLAMET CIPTO WIJOYO,DIREKTUR,INDIVIDU
BANGKA TIN INDUSTRY,OCEAN ESSENCE HOLDINGS LIMITED,BADAN HUKUM,INDIVIDU
BANGKA TIN INDUSTRY,TOGAR SIANIPAR,KOMISARIS,INDIVIDU
BANGKA TIN INDUSTRY,RICKY GUNAWAN,PRESIDEN DIREKTUR,INDIVIDU
BANGKA TIN INDUSTRY,YONGHONG DUAN,DIREKTUR,INDIVIDU
BANGKA TIN INDUSTRY,"SHERLY WANTO, SE",DIREKTUR,INDIVIDU
BANGKA TIN INDUSTRY,PT. NOBLE CAPITAL,BADAN HUKUM,PERUSAHAAN
BANGKA TIN INDUSTRY,TOTO HERMAWAN LIEM,KOMISARIS UTAMA,INDIVIDU
BANGKA TIN INDUSTRY,ANTONIUS RICHARDUS ANGGORO SETYO,DIREKTUR,INDIVIDU
SHUBHA ALAM PERKASA RESOURCES,WASIS SRIYADI. ST. MT.,KOMISARIS,INDIVIDU
SHUBHA ALAM PERKASA RESOURCES,"AGUNG PRIBADI, ST.",KOMISARIS UTAMA,INDIVIDU
SHUBHA ALAM PERKASA RESOURCES,"M LUTHFI FATHUR RAHMAN, ST.",DIREKTUR UTAMA,INDIVIDU
SHUBHA ALAM PERKASA RESOURCES,"MUHAMMAD AMIN FADHLI, ST.",DIREKTUR,INDIVIDU
BANGKA SILICA ABADI,JAMES LOUIS,DIREKTUR,INDIVIDU
BANGKA SILICA ABADI,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
SINAR SILICA ABADI,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
SINAR SILICA ABADI,UJANG SUKARNAEN,DIREKTUR,INDIVIDU
DHIKA YOGATAMA,"LIANAYANTI ATMAJA, LIEM",SEKUTU PASIF,INDIVIDU
DHIKA YOGATAMA,TEDDY HARTONO SETIAWAN,"SEKUTU AKTIF,PENGURUS",INDIVIDU
SEJAHTERA LOGINDO ALAM,"SUDRAJAT, AMD",DIREKTUR,INDIVIDU
SEJAHTERA LOGINDO ALAM,PT. KIMORA INTERNASIONAL,BADAN HUKUM,PERUSAHAAN
SEJAHTERA LOGINDO ALAM,SUNARTO SARDADI,KOMISARIS,INDIVIDU
SEJAHTERA LOGINDO ALAM,PT. SINAR LOGINDO ALAM,BADAN HUKUM,PERUSAHAAN
TIN INDUSTRI NASIONAL,RONY FERYAWAN,DIREKTUR,INDIVIDU
TIN INDUSTRI NASIONAL,PAULUS,KOMISARIS,INDIVIDU
TIN INDUSTRI NASIONAL,PT. TININDO INTER NUSA,BADAN HUKUM,PERUSAHAAN
TIN INDUSTRI NASIONAL,PT. KIMORA INTERNASIONAL,BADAN HUKUM,PERUSAHAAN
HARAPAN MUDA,WINARNO,PENGURUS,INDIVIDU
HARAPAN MUDA,YONG KIE,SEKUTU PASIF,INDIVIDU
HARAPAN MUDA,WINARNO,SEKUTU AKTIF,INDIVIDU
HARAPAN MUDA,ROBI,SEKUTU PASIF,INDIVIDU
BANGKA MINERATAMA MANDIRI,GERAL NOFANDY,"SEKUTU AKTIF,PENGURUS",INDIVIDU
BANGKA MINERATAMA MANDIRI,DJOHAN RIDUAN HASAN,SEKUTU PASIF,INDIVIDU
CAHAYA SILICA ABADI,UJANG SUKARNAEN,DIREKTUR,INDIVIDU
CAHAYA SILICA ABADI,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
KURNIA MANDIRI ADIPERKASA,NICKOLAS TJAN SAKTI EFENDIE,KOMISARIS,INDIVIDU
KURNIA MANDIRI ADIPERKASA,KURNYATJAN SAKTI EFENDIE,DIREKTUR,INDIVIDU
JABEL TRI BERSAUDARA,RIANTO HAKIM,DIREKTUR UTAMA,INDIVIDU
JABEL TRI BERSAUDARA,PT. PRIMA BUNDIARTA NUSA,BADAN HUKUM,PERUSAHAAN
JABEL TRI BERSAUDARA,NICHOLAS HAKIM,DIREKTUR,INDIVIDU
JABEL TRI BERSAUDARA,DJEMI HAKIM,KOMISARIS,INDIVIDU
SUMBER ALAM TIMAH JAYA,TN. HERO TIO,,INDIVIDU
SUMBER ALAM TIMAH JAYA,NN. MERRY,,INDIVIDU
SUMBER ALAM TIMAH JAYA,TN. JUNAIDIN,DIREKTUR,INDIVIDU
SUMBER ALAM TIMAH JAYA,TN. LUNA SUMATRA,KOMISARIS,INDIVIDU
KENCANA KAOLIN INDUSTRI,TJOA LIE TJING,KOMISARIS UTAMA,INDIVIDU
KENCANA KAOLIN INDUSTRI,JIMMY SANJAYA,DIREKTUR,INDIVIDU
KENCANA KAOLIN INDUSTRI,TJOA JIN KIE,DIREKTUR UTAMA,INDIVIDU
KENCANA KAOLIN INDUSTRI,TJOA JIN KHIAT,KOMISARIS,INDIVIDU
MANDIRI SEJAHTERA ABADI,SUMIATI,SEKUTU PASIF,INDIVIDU
MANDIRI SEJAHTERA ABADI,NICHOLAS HAKIM,SEKUTU PASIF,INDIVIDU
MANDIRI SEJAHTERA ABADI,DJEMI HAKIM,"SEKUTU AKTIF,PENGURUS",INDIVIDU
STANINDO INTI PERKASA,SUWITO GUNAWAN,KOMISARIS,INDIVIDU
STANINDO INTI PERKASA,MB. GUNAWAN,DIREKTUR,INDIVIDU
DUA SATU UTAMA,PT AUTUM PRIMA INDONESIA,BADAN HUKUM,PERUSAHAAN
DUA SATU UTAMA,TRIANDI,KOMISARIS,INDIVIDU
