,SOURCE,TARGET,POSITION,CATEGORY
670,PT GARUDA BELITONG BEREHUN,"AGUS HERO PLANETTO, S.SOS",Sekutu Pasif,INDIVIDU
671,PT LUDAI GEDE BILITONITE,PT PTDELI COAL,BADAN HUKUM,PERUSAHAAN
672,PT LUDAI GEDE BILITONITE,ANTONIUS FERRY BASTIAN,KOMISARIS,INDIVIDU
673,PT LUDAI GEDE BILITONITE,PO KWANG,DIREKTUR,INDIVIDU
674,PT ASIA POWER SEJAHTERA,DAVID DJURIAH,DIREKTUR,INDIVIDU
675,PT ASIA POWER SEJAHTERA,CHEN. QIUQUAN,KOMISARIS,INDIVIDU
676,PT ASIA POWER SEJAHTERA,TAHIR ISKANDAR,DIREKTUR UTAMA,INDIVIDU
677,PT ASIA POWER SEJAHTERA,WU. KAIXUE,DIREKTUR,INDIVIDU
678,PT MITRA STANIA BEMBAN,PT ARSARI TAMBANG,BADAN HUKUM,PERUSAHAAN
679,PT MITRA STANIA BEMBAN,CORNELIS SUHARYANTO,KOMISARIS,INDIVIDU
680,PT MITRA STANIA BEMBAN,PT MITRA STANIA PRIMA,BADAN HUKUM,PERUSAHAAN
681,PT MITRA STANIA BEMBAN,"HARWENDRO ADITYO DEWANTO, SH",KOMISARIS UTAMA,INDIVIDU
682,PT MITRA STANIA BEMBAN,ARYO P S DJOJOHADIKUSUMO,DIREKTUR UTAMA,INDIVIDU
683,PT MITRA STANIA BEMBAN,IR JEFFREY KOUNANG,DIREKTUR,INDIVIDU
684,PT SINAR TIMAH BELITUNG,HERMAN PICAL,KOMISARIS,INDIVIDU
685,PT SINAR TIMAH BELITUNG,MAHJUDIN MULIA,DIREKTUR,INDIVIDU
686,PT SINAR TIMAH BELITUNG,WONGWA GROHO,DIREKTUR UTAMA,INDIVIDU
687,PT SINAR TIMAH BELITUNG,PT CAHAYA TIMAH GLOBAL MULIA,BADAN HUKUM,PERUSAHAAN
688,PT SINAR TIMAH BELITUNG,PT BELITUNG INDUSTRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
689,PT MITRA GAPURA MANDIRI,PT DWIJAYA MAJU BERSAMA,BADAN HUKUM,PERUSAHAAN
690,PT MITRA GAPURA MANDIRI,PT DUAPILAR SELARAS MAJU,BADAN HUKUM,PERUSAHAAN
691,PT MITRA GAPURA MANDIRI,MUH SIGIT PRASETYA,KOMISARIS,INDIVIDU
692,PT MITRA GAPURA MANDIRI,LALU ISWANDI,DIREKTUR,INDIVIDU
693,PT SAMPOERNA TIMAH NUSANTARA,MAHJUDIN MULIA,DIREKTUR,INDIVIDU
694,PT SAMPOERNA TIMAH NUSANTARA,WONGWA GROHO,DIREKTUR UTAMA,INDIVIDU
695,PT SAMPOERNA TIMAH NUSANTARA,HERMAN PICAL,KOMISARIS,INDIVIDU
696,PT SAMPOERNA TIMAH NUSANTARA,PT CAHAYA SURYA TIMAH INDOTAMA,BADAN HUKUM,PERUSAHAAN
697,PT SAMPOERNA TIMAH NUSANTARA,PT CAHAYA TIMAH BELITUNG JAYA,BADAN HUKUM,PERUSAHAAN
698,PT SAMPOERNA TIMAH NUSANTARA,PT BELITUNG INDUSTRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
699,PT ALBETA SUKSES MAKMUR,WILLYANTO,DIREKTUR,INDIVIDU
700,PT ALBETA SUKSES MAKMUR,RICHARD CHANDRA,DIREKTUR UTAMA,INDIVIDU
701,PT ALBETA SUKSES MAKMUR,GUNAWAN,KOMISARIS,INDIVIDU
702,PT SUKA JAYA BERSAMA,EMMANUEL KRETAPRADHANA,DIREKTUR,INDIVIDU
703,PT SUKA JAYA BERSAMA,AL KODRI RAMADHAN,KOMISARIS,INDIVIDU
704,PT SUKA JAYA BERSAMA,DRS. MICHAEL D. PRIMANTO,KOMISARIS UTAMA,INDIVIDU
705,PT SUKA JAYA BERSAMA,SUPENDI IBRAHIM,DIREKTUR UTAMA,INDIVIDU
706,PT WIRA BUANA SEJAHTERA,DICKY FERNANDO LU,KOMISARIS,INDIVIDU
707,PT WIRA BUANA SEJAHTERA,TJONG BURHAN FRIADY,DIREKTUR,INDIVIDU
708,PT BERKAH BERMUDA ENERGI,DEVI INDAH SARI,DIREKTUR,INDIVIDU
709,PT BERKAH BERMUDA ENERGI,LUKMAN,KOMISARIS,INDIVIDU
710,PT BERKAH BERMUDA ENERGI,RUSBANI,KOMISARIS UTAMA,INDIVIDU
711,PT BERKAH BERMUDA ENERGI,ACHMAD YUSUF,DIREKTUR,INDIVIDU
712,PT MITRA BUMI UTAMA,PT ARIES KENCANA SEJAHTERA,BADAN HUKUM,PERUSAHAAN
713,PT MITRA BUMI UTAMA,ARTHUR EVANDO,DIREKTUR,INDIVIDU
714,PT MITRA BUMI UTAMA,"SHERLY WANTO, SE",DIREKTUR,INDIVIDU
715,PT MITRA BUMI UTAMA,ALWIN CIPTO CIPUTRA,DIREKTUR,INDIVIDU
716,PT MITRA BUMI UTAMA,DAVID EFFENDY,KOMISARIS,INDIVIDU
717,PT PANDU BELITUNG MAKMUR,ERWIN GAUTAMA,"Sekutu Aktif,Pengurus",INDIVIDU
718,PT PANDU BELITUNG MAKMUR,EDO ARYA PRATAMA,"Sekutu Aktif,Pengurus",INDIVIDU
719,PT PANDU BELITUNG MAKMUR,APRIYANTI,Sekutu Pasif,INDIVIDU
720,PT MINERAL BANGKA SEJATI,HARTO GUNAWAN,KOMISARIS,INDIVIDU
721,PT MINERAL BANGKA SEJATI,NOORANI HANDARA SUKARDI,KOMISARIS UTAMA,INDIVIDU
722,PT MINERAL BANGKA SEJATI,KENNY DESINTA S,DIREKTUR,INDIVIDU
723,PT MINERAL BANGKA SEJATI,OKTA ROMIYANTO,DIREKTUR,INDIVIDU
724,PT MINERAL BANGKA SEJATI,BENNY VERSIKA,DIREKTUR,INDIVIDU
725,PT ARVENTA KARYA GEMILANG,SRI WIYATI,DIREKTUR,INDIVIDU
726,PT ARVENTA KARYA GEMILANG,JESSICA ARDEN,KOMISARIS,INDIVIDU
727,PT KEMILAU KUARSA PERDANA,"SURYA BATARA KARTIKA, ST",KOMISARIS,INDIVIDU
728,PT KEMILAU KUARSA PERDANA,HENDRA KUSUMAH,KOMISARIS,INDIVIDU
729,PT KEMILAU KUARSA PERDANA,RUSDIANTO,DIREKTUR,INDIVIDU
730,PT KEMILAU KUARSA PERDANA,SRI HARMONIS,DIREKTUR UTAMA,INDIVIDU
731,PT YUDHANTARA AMANAH BERSATU,ZAINUDDIN,KOMISARIS,INDIVIDU
732,PT YUDHANTARA AMANAH BERSATU,EDDY KASDIANTO,DIREKTUR,INDIVIDU
733,PT YUDHANTARA AMANAH BERSATU,LIE KHIUN,KOMISARIS,INDIVIDU
734,PT YUDHANTARA AMANAH BERSATU,YUSPINA,KOMISARIS,INDIVIDU
735,PT SEJAHTERA UTAMA PRIMA,SARJONO SUTRISNO,KOMISARIS,INDIVIDU
736,PT SEJAHTERA UTAMA PRIMA,SADIKIN SUTRISNO,DIREKTUR,INDIVIDU
737,PT BIMBIM TRANSMINERATAMA SEJAHTERA,AL KODRI RAMADHAN,DIREKTUR,INDIVIDU
738,PT BIMBIM TRANSMINERATAMA SEJAHTERA,ACHMAD ALBANI,KOMISARIS UTAMA,INDIVIDU
739,PT BIMBIM TRANSMINERATAMA SEJAHTERA,SULISTIA YUNINGSIH,KOMISARIS,INDIVIDU
740,PT BIMBIM TRANSMINERATAMA SEJAHTERA,MITHA ELISZA,DIREKTUR,INDIVIDU
741,PT BELTIM MAKMUR JAYA,HARTONO,DIREKTUR,INDIVIDU
742,PT BELTIM MAKMUR JAYA,NASKAFA TJHIN,KOMISARIS,INDIVIDU
743,PT BELTIM MAKMUR JAYA,FRANKY,KOMISARIS,INDIVIDU
744,PT LOTUS ESGE SEJAHTERA,FALDO GUNAWAN,DIREKTUR,INDIVIDU
745,PT LOTUS ESGE SEJAHTERA,SUTOMO GUNAWAN,KOMISARIS UTAMA,INDIVIDU
746,PT LOTUS ESGE SEJAHTERA,JUSTIN GUNAWAN,DIREKTUR UTAMA,INDIVIDU
747,PT LOTUS ESGE SEJAHTERA,WILSON GUNAWAN,KOMISARIS,INDIVIDU
748,PT LOTUS ESGE SEJAHTERA,SUTIATY WIDJAYA,KOMISARIS,INDIVIDU
749,PT LOTUS ESGE SEJAHTERA,KELVIN GUNAWAN,DIREKTUR,INDIVIDU
750,PT UNITED SMELTING,IVANG TUSIN,"Sekutu Aktif,Pengurus",INDIVIDU
751,PT UNITED SMELTING,JOHANES IRVING TEDY,Sekutu Pasif,INDIVIDU
752,PT PERKASA PARAMA BILITON,"STEFANUS KURNIAWAN, ST",DIREKTUR,INDIVIDU
753,PT PERKASA PARAMA BILITON,PT GARPATI DAYA INTEGRA,BADAN HUKUM,PERUSAHAAN
754,PT PERKASA PARAMA BILITON,IRVAN ERLANGGA KUSUMA DANI,DIREKTUR,INDIVIDU
755,PT PERKASA PARAMA BILITON,ANANDA NUGRAHA ANSHARI,DIREKTUR UTAMA,INDIVIDU
756,PT PERKASA PARAMA BILITON,ARYA RIZQI DARSONO,KOMISARIS UTAMA,INDIVIDU
757,PT PERKASA PARAMA BILITON,AYI PARYANA,KOMISARIS,INDIVIDU
758,PT SATRIA MUKTI ANUGERAH,SRI ASIH WULANDARI,KOMISARIS,INDIVIDU
759,PT SATRIA MUKTI ANUGERAH,IVAN SETIABUDHI INDRATJAJA,DIREKTUR,INDIVIDU
760,PT SATRIA MUKTI ANUGERAH,MUHAMMAD ZIKRI RAMADHAN,DIREKTUR,INDIVIDU
761,PT SATRIA MUKTI ANUGERAH,PT KISMA SUKSES MANDIRI,BADAN HUKUM,PERUSAHAAN
762,PT PROSPER KARYA MANDIRI,HADIANTO,DIREKTUR,INDIVIDU
763,PT PROSPER KARYA MANDIRI,SUHENDRI WARTO,KOMISARIS UTAMA,INDIVIDU
764,PT PROSPER KARYA MANDIRI,IR ARIA ANUGRAHA,KOMISARIS,INDIVIDU
765,PT INDO PERSADA SILIKA,IR ACHMAD YANI ARIEF,KOMISARIS,INDIVIDU
766,PT INDO PERSADA SILIKA,WINI NOVIANTY,KOMISARIS UTAMA,INDIVIDU
