,SOURCE,TARGET,POSITION,CATEGORY
875,PT BERLIAN CAHAYA TIMUR,IR TRISAKTI YANDI,"Sekutu Aktif,Pengurus",INDIVIDU
876,PT BERLIAN CAHAYA TIMUR,HANI RENI MARTINI,"Sekutu Pasif,Pengurus",INDIVIDU
877,PT BERLIAN CAHAYA TIMUR,ADITYA REZA ADHYAKSA,"Sekutu Pasif,Pengurus",INDIVIDU
878,PT BELITUNG INTI PERSADA,MUHAMMAD IZADDIN,KOMISARIS,INDIVIDU
879,PT BELITUNG INTI PERSADA,DHARMA BUDI SADELI,DIREKTUR UTAMA,INDIVIDU
880,PT BELITUNG INTI PERSADA,DODY DAMOS MANGALOI TINAMBUNAN,DIREKTUR,INDIVIDU
881,PT BELITUNG INTI PERSADA,RACHMADD POHAN,KOMISARIS UTAMA,INDIVIDU
882,PT SUMBER CIPTA MINERATAMA,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
883,PT SUMBER CIPTA MINERATAMA,PT PRAMANUSA RAYA UTAMA,BADAN HUKUM,PERUSAHAAN
884,PT SUMBER CIPTA MINERATAMA,PT ARKADIA MANDIRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
885,PT SUMBER CIPTA MINERATAMA,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
886,PT DIANTAMA USAHA MANDIRI,PT ARKADIA MANDIRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
887,PT DIANTAMA USAHA MANDIRI,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
888,PT DIANTAMA USAHA MANDIRI,PT PRAMANUSA RAYA UTAMA,BADAN HUKUM,PERUSAHAAN
889,PT DIANTAMA USAHA MANDIRI,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
890,PT CUAN BERSAMA SILICA,RHENO SETYAWAN MALEPPE,KOMISARIS,INDIVIDU
891,PT CUAN BERSAMA SILICA,"SURYA BATARA KARTIKA, ST",KOMISARIS UTAMA,INDIVIDU
892,PT CUAN BERSAMA SILICA,ZAINUDDIN,DIREKTUR,INDIVIDU
893,PT CUAN BERSAMA SILICA,"NAGARA ARDITO SOESANTO, ST",KOMISARIS,INDIVIDU
894,PT CUAN BERSAMA SILICA,DR SAMSUL ARIFIN,DIREKTUR UTAMA,INDIVIDU
895,PT INTI MATERIALS UTAMA,JESSICA BASUKIE,KOMISARIS,INDIVIDU
896,PT INTI MATERIALS UTAMA,JASON,DIREKTUR,INDIVIDU
897,PT BILITON MUDA GEMILANG,EDHIE SANTOSA RAHARDJA,DIREKTUR,INDIVIDU
898,PT BILITON MUDA GEMILANG,MUHAMAD RIFKY FAYUZAR,KOMISARIS,INDIVIDU
899,PT SRIYUDI GLOBALINDO PERKASA,BASTIAN UMAR,DIREKTUR,INDIVIDU
900,PT SRIYUDI GLOBALINDO PERKASA,WEIDRI,KOMISARIS,INDIVIDU
901,PT SRIYUDI GLOBALINDO PERKASA,MINGHUI HAN,DIREKTUR,INDIVIDU
902,PT SRIYUDI GLOBALINDO PERKASA,BUDI WIJAYA,DIREKTUR UTAMA,INDIVIDU
903,PT BASEL MINING SEJAHTERA,HARIS RANOWIANSYAH,KOMISARIS,INDIVIDU
904,PT BASEL MINING SEJAHTERA,PT CANDRA LESTARI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
905,PT BASEL MINING SEJAHTERA,ASEP SUMANTRI,DIREKTUR,INDIVIDU
906,PT BASEL MINING SEJAHTERA,PT TRACO INDOTAMA MANDIRI,BADAN HUKUM,PERUSAHAAN
907,PT BASEL MINING SEJAHTERA,PT BERDIKARI SEJAHTERA SENTOSA,BADAN HUKUM,PERUSAHAAN
908,PT MITRA CININDO PERKASA,DRS MANGATAS SITORUS,DIREKTUR UTAMA,INDIVIDU
909,PT MITRA CININDO PERKASA,RENDY VIRNANTO WIJAYA,KOMISARIS,INDIVIDU
910,PT MITRA CININDO PERKASA,BUDI WIJAYA,DIREKTUR,INDIVIDU
911,PT BUMI ORE SEJAHTERA,SUSANTO,KOMISARIS,INDIVIDU
912,PT BUMI ORE SEJAHTERA,JONI,DIREKTUR,INDIVIDU
913,PT BUMI ORE SEJAHTERA,PT AKAR BUMINDO RESOURCES,BADAN HUKUM,PERUSAHAAN
914,PT BUMI ORE SEJAHTERA,PT PROFITAMA HARJAYA INDAH,BADAN HUKUM,PERUSAHAAN
915,PT CAIRO CAOLIN RESOURCES,RICHARD N M PALAR,DIREKTUR,INDIVIDU
916,PT CAIRO CAOLIN RESOURCES,SHIELLY YUNITA,DIREKTUR,INDIVIDU
917,PT CAIRO CAOLIN RESOURCES,SHIELLA MARIETA,KOMISARIS,INDIVIDU
918,PT SILIKA UTAMA MAKMUR,DAVID EFFENDY,KOMISARIS,INDIVIDU
919,PT SILIKA UTAMA MAKMUR,JIMMY MONOPO,DIREKTUR,INDIVIDU
920,PT AIRA SILIKA BILITON,MOHAMAD KADRI,KOMISARIS,INDIVIDU
921,PT AIRA SILIKA BILITON,CHAERUDIN,DIREKTUR,INDIVIDU
922,PT AIRA SILIKA BILITON,YUNI RUSDINAR,KOMISARIS UTAMA,INDIVIDU
923,PT AIRA SILIKA BILITON,CANDRA WICAKSONO,KOMISARIS,INDIVIDU
924,PT KUARSA BABEL MAJU,SIE TJIOE JIN,KOMISARIS,INDIVIDU
925,PT KUARSA BABEL MAJU,SETIAWAN LOHISTO,DIREKTUR,INDIVIDU
926,PT KUARSA BABEL MAJU,TOMMY LOHISTO,DIREKTUR,INDIVIDU
927,PT KUARSA BABEL MAJU,RUSLI LOHISTO,DIREKTUR UTAMA,INDIVIDU
928,PT KUARSA BELITUNG MAJU,TOMMY LOHISTO,DIREKTUR,INDIVIDU
929,PT KUARSA BELITUNG MAJU,SIE TJIOE JIN,KOMISARIS,INDIVIDU
930,PT KUARSA BELITUNG MAJU,RUSLI LOHISTO,DIREKTUR UTAMA,INDIVIDU
931,PT KUARSA BELITUNG MAJU,ADE WIRAWAN,DIREKTUR,INDIVIDU
932,PT KUARSA BELITUNG SUKSES,SETIAWAN LOHISTO,DIREKTUR,INDIVIDU
933,PT KUARSA BELITUNG SUKSES,SIE TJIOE JIN,KOMISARIS,INDIVIDU
934,PT KUARSA BELITUNG SUKSES,RUSLI LOHISTO,DIREKTUR UTAMA,INDIVIDU
935,PT KUARSA BELITUNG SUKSES,ADE WIRAWAN,DIREKTUR,INDIVIDU
936,PT KARYA INVESTAMA MANDIRI,STEVEN CANDRA,DIREKTUR UTAMA,INDIVIDU
937,PT KARYA INVESTAMA MANDIRI,LYDIA,DIREKTUR,INDIVIDU
938,PT KARYA INVESTAMA MANDIRI,JALALUDDIN,KOMISARIS,INDIVIDU
939,PT CAHAYA MANDIRI GEMILANG,STEVEN CANDRA,"Sekutu Aktif,Pengurus",INDIVIDU
940,PT CAHAYA MANDIRI GEMILANG,LYDIA,"Sekutu Aktif,Pengurus",INDIVIDU
941,PT CAHAYA MANDIRI GEMILANG,JALALUDDIN,Sekutu Pasif,INDIVIDU
942,PT BILITON SUMBER SILIKA,DAVID EFFENDY,KOMISARIS,INDIVIDU
943,PT BILITON SUMBER SILIKA,JIMMY MONOPO,DIREKTUR,INDIVIDU
944,PT BILITON SILIKA LESTARI,JIMMY MONOPO,DIREKTUR,INDIVIDU
945,PT BILITON SILIKA LESTARI,DAVID EFFENDY,KOMISARIS,INDIVIDU
946,PT SILIKA INDO GEMILANG,DAVID EFFENDY,KOMISARIS,INDIVIDU
947,PT SILIKA INDO GEMILANG,JIMMY MONOPO,DIREKTUR,INDIVIDU
948,PT ALTER ABADI Tbk.,HARI SOEMANTO,DIREKTUR,INDIVIDU
949,PT ALTER ABADI Tbk.,MARCELLIUS RUSLI EFFENDI,KOMISARIS,INDIVIDU
950,PT ALTER ABADI Tbk.,LENY HAKIM,PRESIDEN KOMISARIS,INDIVIDU
951,PT ALTER ABADI Tbk.,JEFRY HAKIM,DIREKTUR,INDIVIDU
953,PT ALTER ABADI Tbk.,RACHMAN HAKIM,PRESIDEN DIREKTUR,INDIVIDU
954,PT ALTER ABADI Tbk.,PT Hakimperkasa Interniaga,BADAN HUKUM,PERUSAHAAN
955,PT ARTHA CIPTA LANGGENG,MUHAMAD RUSYIDI,DIREKTUR,INDIVIDU
956,PT ARTHA CIPTA LANGGENG,TAN HENRY LISARDI,DIREKTUR UTAMA,INDIVIDU
957,PT ARTHA CIPTA LANGGENG,PT RESOURCES CAPITAL,BADAN HUKUM,PERUSAHAAN
958,PT ARTHA CIPTA LANGGENG,PT MEDIA MULIA INVESTAMA,BADAN HUKUM,PERUSAHAAN
959,PT ARTHA CIPTA LANGGENG,IWAN SUHARDIMAN,KOMISARIS,INDIVIDU
960,PT ARTHA CIPTA LANGGENG,ISA MELKYZEDECK SUHARDIMAN,DIREKTUR,INDIVIDU
961,PT ARTHA CIPTA LANGGENG,JOHNY SUHARDIMAN,KOMISARIS,INDIVIDU
962,PT ARTHA CIPTA LANGGENG,HENDRIK SUHARDIMAN,KOMISARIS UTAMA,INDIVIDU
963,PT ARTHA CIPTA LANGGENG,TEGUH PAMUDJI YUSUF,DIREKTUR,INDIVIDU
964,PT ARTHA CIPTA LANGGENG,JOENG JOHAN HARTATO,KOMISARIS,INDIVIDU
965,PT UTAMA MEGA MANDIRI,OPPY SANARJO,"Sekutu Aktif,Pengurus",INDIVIDU
966,PT UTAMA MEGA MANDIRI,EVA ARNAS ERNAWATI,Sekutu Pasif,INDIVIDU
967,PT SORRA INTI GEMILANG,JOKO PRASETYO,KOMISARIS,INDIVIDU
968,PT SORRA INTI GEMILANG,ARIF AGUNG RAKHMADI,DIREKTUR,INDIVIDU
969,PT SORRA NIWANDA SUKSES,SUNARNO,KOMISARIS,INDIVIDU
970,PT SORRA NIWANDA SUKSES,NUMIATI,DIREKTUR,INDIVIDU
971,PT METRIX ABADI RESOURCE,FLORENTINUS SUHERMAN BUDIONO,DIREKTUR,INDIVIDU
972,PT METRIX ABADI RESOURCE,JOHANES BUDI SUTRISNO K,DIREKTUR,INDIVIDU
973,PT METRIX ABADI RESOURCE,WENDRI ARMAN,KOMISARIS,INDIVIDU
974,PT METRIX ABADI RESOURCE,PUDJOWARNO,DIREKTUR UTAMA,INDIVIDU
975,PT BILLITON SINAR PERKASA,WIRU ERANDARI,Sekutu Pasif,INDIVIDU
976,PT BILLITON SINAR PERKASA,ACHMAD BAIJURI,"Sekutu Aktif,Pengurus",INDIVIDU
977,PT SINAR SEJAHTERA PERKASA,OKTAVIANUS PORAY TIRA,DIREKTUR,INDIVIDU
978,PT SINAR SEJAHTERA PERKASA,MARI KUSBIYANTO,KOMISARIS,INDIVIDU
979,PT SINAR SEJAHTERA PERKASA,"HARWENDRO ADITYO DEWANTO, SH",KOMISARIS UTAMA,INDIVIDU
980,PT SINAR SEJAHTERA PERKASA,PT SUBUR BUMI MINERAL,BADAN HUKUM,PERUSAHAAN
981,PT SINAR SEJAHTERA PERKASA,ABDUL RAHMAN YACOB,DIREKTUR UTAMA,INDIVIDU
982,PT BELITUNG CININDO ANTARBUANA,RYSKA LISMITA,DIREKTUR,INDIVIDU
983,PT BELITUNG CININDO ANTARBUANA,BUDI WIJAYA,KOMISARIS,INDIVIDU
984,PT INTAN ALAM ABADI,OYONG WISMAN,KOMISARIS,INDIVIDU
985,PT INTAN ALAM ABADI,HENDY,DIREKTUR,INDIVIDU
986,PT INTAN ALAM ABADI,PT SILIKA UTAMA JAYA,BADAN HUKUM,PERUSAHAAN
987,PT INTAN ALAM ABADI,PT HAMPARAN INDONESIA BERJAYA,BADAN HUKUM,PERUSAHAAN
988,PT MAKIN MAJU MAKMUR,YESSI WIJAYA,KOMISARIS UTAMA,INDIVIDU
989,PT MAKIN MAJU MAKMUR,ELVY WIJAYA,KOMISARIS,INDIVIDU
990,PT MAKIN MAJU MAKMUR,RYSKA LISMITA,DIREKTUR UTAMA,INDIVIDU
991,PT MAKIN MAJU MAKMUR,SANTI WIJAYA,DIREKTUR,INDIVIDU
992,PT SYNERGI JAYA SILIKA,MUHLIS NAHWI,DIREKTUR,INDIVIDU
993,PT SYNERGI JAYA SILIKA,TASMIN TAMSIL,KOMISARIS,INDIVIDU
994,PT SYNERGI JAYA SILIKA,PT SYNERGI MAKMUR INVESTAMA,BADAN HUKUM,PERUSAHAAN
995,PT SYNERGI JAYA SILIKA,TOMMY PRASETYO,DIREKTUR,INDIVIDU
996,PT BANTALA MITRA SUKSES,LILIS PURWANTI,KOMISARIS,INDIVIDU
997,PT BANTALA MITRA SUKSES,BAMBANG SIGID TRI WURYONO,DIREKTUR,INDIVIDU
998,PT SYNERGI MAKMUR SILIKA,PT SYNERGI MAKMUR INVESTAMA,BADAN HUKUM,PERUSAHAAN
999,PT SYNERGI MAKMUR SILIKA,RACHMADI TOHA,KOMISARIS,INDIVIDU
1000,PT SYNERGI MAKMUR SILIKA,ZULKIFLI. BS,DIREKTUR,INDIVIDU
1001,PT SYNERGI SUKSES SILIKA,NANA SYAHBANA,DIREKTUR,INDIVIDU
1002,PT SYNERGI SUKSES SILIKA,PT SYNERGI MAKMUR INVESTAMA,BADAN HUKUM,PERUSAHAAN
1003,PT SYNERGI SUKSES SILIKA,ANTON,KOMISARIS,INDIVIDU
1004,PT SYNERGI SUKSES SILIKA,ARMANSYAH,DIREKTUR,INDIVIDU
1005,PT TUNAS MANDIRI BANGUN PERSADA,PT USAHA MANDIRI PERSADA,BADAN HUKUM,PERUSAHAAN
1006,PT TUNAS MANDIRI BANGUN PERSADA,SIANTY BUNTARAN,KOMISARIS,INDIVIDU
1007,PT TUNAS MANDIRI BANGUN PERSADA,LYDIA,DIREKTUR,INDIVIDU
1008,PT TUNAS MANDIRI BANGUN PERSADA,STEVEN CANDRA,DIREKTUR UTAMA,INDIVIDU
1009,PT ARYA PRIMA SENTOSA,"WU, KAIXUE",DIREKTUR,INDIVIDU
1010,PT ARYA PRIMA SENTOSA,TAHIR ISKANDAR,DIREKTUR UTAMA,INDIVIDU
1011,PT ARYA PRIMA SENTOSA,DAVID DJURIAH,KOMISARIS,INDIVIDU
1012,PT GASPAR ARTHA AGUNG,RIO JANU PURWANTO,"Sekutu Aktif,Pengurus",INDIVIDU
1013,PT AKAR BUMINDO RESOURCES,JONI,DIREKTUR,INDIVIDU
1014,PT AKAR BUMINDO RESOURCES,SOEKARDI,KOMISARIS,INDIVIDU
1015,PT ALDMIC BARA INDONESIA,WILLY WINTHOVANY THOMAS,KOMISARIS,INDIVIDU
1016,PT ALDMIC BARA INDONESIA,SOENATO KAHARUDIN,DIREKTUR,INDIVIDU
1017,PT ALDMIC BARA INDONESIA,Ken Dean Lawadinata,DIREKTUR,INDIVIDU
1018,PT ALDMIC BARA INDONESIA,Jeffrey Khans Gunawan,DIREKTUR,INDIVIDU
1019,PT ALDMIC BARA INDONESIA,ELDY WIRAATMADJA,KOMISARIS,INDIVIDU
1020,PT ALDMIC BARA INDONESIA,Darwin Wijaya,KOMISARIS,INDIVIDU
1021,PT ALDMIC BARA INDONESIA,ALDWIN WIJAYA,DIREKTUR UTAMA,INDIVIDU
1022,PT ANINDITA NATA TIARA,ANDRIANUS DAVID SIM,DIREKTUR UTAMA,INDIVIDU
1023,PT ANINDITA NATA TIARA,INDRA TUKIMIN,KOMISARIS,INDIVIDU
1024,PT ANINDITA NATA TIARA,TONI SISWOYUDHO,DIREKTUR,INDIVIDU
1025,PT ANINDITA NATA TIARA,"PT TF EXCHANGE, PTE., LTD",BADAN HUKUM,PERUSAHAAN
1026,PT ANINDITA NATA TIARA,PT AGUSTIAN LEORIS,BADAN HUKUM,PERUSAHAAN
1027,PT ARIES KENCANA SEJAHTERA,ARTHUR EVANDO,KOMISARIS,INDIVIDU
1028,PT ARIES KENCANA SEJAHTERA,EDWIN KUNTJORO,KOMISARIS,INDIVIDU
1029,PT ARIES KENCANA SEJAHTERA,ARIF SUGIANTO,DIREKTUR,INDIVIDU
1030,PT ARKADIA MANDIRI SEJAHTERA,TRISNO MUJI SANTOSO,DIREKTUR,INDIVIDU
1031,PT ARKADIA MANDIRI SEJAHTERA,PT PIRUS SUMBER SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1032,PT ARKADIA MANDIRI SEJAHTERA,PT PIRUS RAYA PERKASA,BADAN HUKUM,PERUSAHAAN
1033,PT ARKADIA MANDIRI SEJAHTERA,IRVANBER HASIBUAN,KOMISARIS,INDIVIDU
1034,PT ARSARI MULTI TAMBANG,R. ARI LUMAKSONO,DIREKTUR,INDIVIDU
1035,PT ARSARI MULTI TAMBANG,PT ARSARI PRADANA UTAMA,BADAN HUKUM,PERUSAHAAN
1036,PT ARSARI MULTI TAMBANG,PT HASHIM S DJOJOHADIKUSUMO,BADAN HUKUM,PERUSAHAAN
1037,PT ARSARI MULTI TAMBANG,BAMBANG SJAMSURIDZAL ATMADJA,KOMISARIS,INDIVIDU
1038,PT ARSARI MULTI TAMBANG,ARYO P S DJOJOHADIKUSUMO,DIREKTUR UTAMA,INDIVIDU
1039,PT ARSARI TAMBANG,R. ARI LUMAKSONO,KOMISARIS,INDIVIDU
1040,PT ARSARI TAMBANG,"DR H MOCHAMAD IRIAWAN, S.H., M.M., M.H.",KOMISARIS,INDIVIDU
1041,PT ARSARI TAMBANG,PT CAHAYA INTAN,BADAN HUKUM,PERUSAHAAN
1042,PT ARSARI TAMBANG,PT ARSARI PRADANA UTAMA,BADAN HUKUM,PERUSAHAAN
1043,PT ARSARI TAMBANG,HASHIM S DJOJOHADIKUSUMO,KOMISARIS UTAMA,INDIVIDU
1044,PT ARSARI TAMBANG,BAMBANG SJAMSURIDZAL ATMADJA,KOMISARIS,INDIVIDU
1045,PT ARSARI TAMBANG,ARNOLD RONNY PARULIAN,DIREKTUR,INDIVIDU
1046,PT ARSARI TAMBANG,ARYO P S DJOJOHADIKUSUMO,DIREKTUR UTAMA,INDIVIDU
1047,PT BERDIKARI SEJAHTERA SENTOSA,MICHAEL REAGAN TJONG,DIREKTUR,INDIVIDU
1048,PT BERDIKARI SEJAHTERA SENTOSA,EMMANUEL DARREN TJONG,DIREKTUR,INDIVIDU
1049,PT BERDIKARI SEJAHTERA SENTOSA,NATHANAEL AUSTEN TJONG,DIREKTUR,INDIVIDU
1050,PT BERDIKARI SEJAHTERA SENTOSA,ELIZABETH JUANITA,KOMISARIS,INDIVIDU
1051,PT BERDIKARI SEJAHTERA SENTOSA,KRISTIAN TJANDRA,DIREKTUR,INDIVIDU
1052,PT BERJAYA BERSAMA KAWAN,PT KOMPAK SAHABAT BERJAYA,BADAN HUKUM,PERUSAHAAN
1053,PT BERJAYA BERSAMA KAWAN,MUNI YANDONI,KOMISARIS,INDIVIDU
1054,PT BERJAYA BERSAMA KAWAN,MUHAMMAD SANDY RIZKY,KOMISARIS,INDIVIDU
1055,PT BERJAYA BERSAMA KAWAN,ARY CHANDRA HIDAYAT,DIREKTUR,INDIVIDU
1056,PT BERJAYA BERSAMA KAWAN,AIDIL SURAHMAN,DIREKTUR,INDIVIDU
1057,PT CAHAYA TIMAH BELITUNG JAYA,PT SINAR TIMAH BELITUNG,BADAN HUKUM,PERUSAHAAN
1058,PT CAHAYA TIMAH BELITUNG JAYA,PT CAHAYA TIMAH GLOBAL MULIA,BADAN HUKUM,PERUSAHAAN
1059,PT CAHAYA TIMAH BELITUNG JAYA,"SUSILO RIYANTO, SE, MM",KOMISARIS,INDIVIDU
1060,PT CAHAYA TIMAH BELITUNG JAYA,HERMAN PICAL,KOMISARIS UTAMA,INDIVIDU
1061,PT CAHAYA TIMAH BELITUNG JAYA,YOSE RIZAL RACHMAN,DIREKTUR,INDIVIDU
1062,PT CAHAYA TIMAH BELITUNG JAYA,WONGWA GROHO,DIREKTUR UTAMA,INDIVIDU
1063,PT CAHAYA TIMAH GLOBAL MULIA,PT BELITUNG INDUSTRI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1064,PT CAHAYA TIMAH GLOBAL MULIA,HERMAN PICAL,KOMISARIS,INDIVIDU
1065,PT CAHAYA TIMAH GLOBAL MULIA,PT INDO TIMAH CAHAYA MULIA,BADAN HUKUM,PERUSAHAAN
1066,PT CAHAYA TIMAH GLOBAL MULIA,MAHJUDIN MULIA,DIREKTUR,INDIVIDU
1067,PT CAHAYA TIMAH GLOBAL MULIA,WONGWA GROHO,DIREKTUR UTAMA,INDIVIDU
1068,PT CANDRA LESTARI SEJAHTERA,NEITH EVANGELINA CANDRA,DIREKTUR UTAMA,INDIVIDU
1069,PT CANDRA LESTARI SEJAHTERA,NICOLINE ALICIA CANDRA,DIREKTUR UTAMA,INDIVIDU
1070,PT CANDRA LESTARI SEJAHTERA,NADINE OLIVIA CANDRA,DIREKTUR UTAMA,INDIVIDU
1071,PT CANDRA LESTARI SEJAHTERA,ISWADHANI TJANDRA,KOMISARIS,INDIVIDU
1072,PT CANDRA LESTARI SEJAHTERA,LESTARI KUSUMANINGSIH,KOMISARIS UTAMA,INDIVIDU
1073,PT CANDRA LESTARI SEJAHTERA,DHE DHE CANDRA,DIREKTUR,INDIVIDU
1074,PT DELI COAL,JUHADI,DIREKTUR,INDIVIDU
1075,PT DELI COAL,PT DELI PRATAMA NUSANTARA,BADAN HUKUM,PERUSAHAAN
1076,PT DELI COAL,LIMAS ANANTO,KOMISARIS,INDIVIDU
1077,PT DELI COAL,PT DELI INDONESIA RAYA,BADAN HUKUM,PERUSAHAAN
1078,PT DELI PRATAMA MINERAL,BAMBANG SUBAGIO WIYONO,DIREKTUR,INDIVIDU
1079,PT DELI PRATAMA MINERAL,JUHADI,KOMISARIS,INDIVIDU
1080,PT DELI PRATAMA MINERAL,PT PTDELI PRATAMA NUSANTARA,BADAN HUKUM,PERUSAHAAN
1081,PT DELI PRATAMA MINERAL,PT PTSINAR DELI,BADAN HUKUM,PERUSAHAAN
1082,PT DUAPILAR SELARAS MAJU,PRONO WIBOWO,KOMISARIS,INDIVIDU
1083,PT DUAPILAR SELARAS MAJU,MUH SIGIT PRASETYA,DIREKTUR,INDIVIDU
1084,PT DWIJAYA MAJU BERSAMA,PRONO WIBOWO,KOMISARIS,INDIVIDU
1085,PT DWIJAYA MAJU BERSAMA,MUH SIGIT PRASETYA,DIREKTUR,INDIVIDU
1086,PT GARPATI DAYA INTEGRA,ANANDA NUGRAHA ANSHARI,KOMISARIS,INDIVIDU
1087,PT GARPATI DAYA INTEGRA,ARYA RIZQI DARSONO,DIREKTUR,INDIVIDU
1088,PT GARPATI DAYA INTEGRA,PT AZZAHRA CITRA PERKASA,BADAN HUKUM,PERUSAHAAN
1089,PT GARPATI DAYA INTEGRA,PT MANTRA DAHANA INVESTA,BADAN HUKUM,PERUSAHAAN
1090,PT HAKIMPERKASA INTERNIAGA,PT Novita Hakim,BADAN HUKUM,PERUSAHAAN
1091,PT HAKIMPERKASA INTERNIAGA,MEITJE KUSNADI,KOMISARIS,INDIVIDU
1092,PT HAKIMPERKASA INTERNIAGA,Leny Hakim,KOMISARIS UTAMA,INDIVIDU
1093,PT HAKIMPERKASA INTERNIAGA,Rachman Hakim,DIREKTUR UTAMA,INDIVIDU
1094,PT HAKIMPERKASA INTERNIAGA,Jefry Hakim,DIREKTUR,INDIVIDU
1095,PT HAMPARAN INDONESIA BERJAYA,HERMAWAN DAENG PARANI,DIREKTUR,INDIVIDU
1096,PT HAMPARAN INDONESIA BERJAYA,RUSTAM RACHMAT,DIREKTUR,INDIVIDU
1097,PT HAMPARAN INDONESIA BERJAYA,OYONG WISMAN,DIREKTUR,INDIVIDU
1098,PT HAMPARAN INDONESIA BERJAYA,ARSIANDO CITRA SE,DIREKTUR,INDIVIDU
1099,PT HAMPARAN INDONESIA BERJAYA,HELYUZAR,DIREKTUR,INDIVIDU
1100,PT HAMPARAN INDONESIA BERJAYA,HENDY,KOMISARIS,INDIVIDU
1101,PT INDRA PUTRA MEGA,WIRANTO NURHADI,DIREKTUR,INDIVIDU
1102,PT INDRA PUTRA MEGA,WIDJIJONO NURHADI,DIREKTUR,INDIVIDU
1103,PT INDRA PUTRA MEGA,FONNY NURHADI,KOMISARIS,INDIVIDU
1104,PT INDRA PUTRA MEGA,WIRANTO NURHADI,DIREKTUR UTAMA,INDIVIDU
1105,PT INDRA PUTRA MEGA,WIDJIJONO NURHADI,KOMISARIS,INDIVIDU
1106,PT INDRA PUTRA MEGA,IKAWATI NURHADI,KOMISARIS,INDIVIDU
1107,PT INDRA PUTRA MEGA,DRS. MOCH CHANAFI,DIREKTUR,INDIVIDU
1108,PT KAOLINDO SAKTI PERKASA,Qi Tusheng,DIREKTUR,INDIVIDU
1109,PT KAOLINDO SAKTI PERKASA,Jefry Hakim,DIREKTUR,INDIVIDU
1110,PT KAOLINDO SAKTI PERKASA,MEITJE KUSNADI,KOMISARIS,INDIVIDU
1111,PT KAOLINDO SAKTI PERKASA,HARI SOEMANTO,DIREKTUR,INDIVIDU
1112,PT KAOLINDO SAKTI PERKASA,Leny Hakim,PRESIDEN KOMISARIS,INDIVIDU
1113,PT KAOLINDO SAKTI PERKASA,Rachman Hakim,PRESIDEN DIREKTUR,INDIVIDU
1114,PT KAOLINDO SAKTI PERKASA,PT Nipsea Martapura,BADAN HUKUM,PERUSAHAAN
1115,PT KAOLINDO SAKTI PERKASA,PT Alter Abadi Tbk,BADAN HUKUM,PERUSAHAAN
1116,PT KISMA SUKSES MANDIRI,SRI ASIH WULANDARI,DIREKTUR,INDIVIDU
1117,PT KISMA SUKSES MANDIRI,MUHAMMAD ZIKRI RAMADHAN,KOMISARIS,INDIVIDU
1118,PT KSATRIA INDONESIA EMAS,JONATAN,KOMISARIS,INDIVIDU
1119,PT KSATRIA INDONESIA EMAS,ARBI LEO,DIREKTUR,INDIVIDU
1120,PT MARSHINDO BUMI MINERAL,DJOJO SUNJOTO,KOMISARIS,INDIVIDU
1121,PT MARSHINDO BUMI MINERAL,MARSHELLE SUNJOTO,DIREKTUR,INDIVIDU
1122,PT MEDIA MULIA INVESTAMA,ISA MELKYZEDECK SUHARDIMAN,KOMISARIS,INDIVIDU
1123,PT MEDIA MULIA INVESTAMA,MAX MELKYZEDECK SUHARDIMAN,DIREKTUR,INDIVIDU
1124,PT MEDIA MULIA INVESTAMA,JEREMY SUHARDIMAN,DIREKTUR,INDIVIDU
1125,PT MEDIA MULIA INVESTAMA,JOHNY SUHARDIMAN,KOMISARIS UTAMA,INDIVIDU
1126,PT MEDIA MULIA INVESTAMA,TEGUH PAMUDJI YUSUF,DIREKTUR UTAMA,INDIVIDU
1127,PT MEDIA MULIA INVESTAMA,PT MULIA ANUGERAH SEJAHTERA,BADAN HUKUM,PERUSAHAAN
1128,PT MEDIA MULIA INVESTAMA,HENDRIK SUHARDIMAN,DIREKTUR,INDIVIDU
1129,PT MERDEKA BERSAMA JAYA,WIDAYATI,DIREKTUR,INDIVIDU
1130,PT MERDEKA BERSAMA JAYA,KASMAN,DIREKTUR,INDIVIDU
1131,PT MERDEKA BERSAMA JAYA,KADAR HERARIES OPUTRA,KOMISARIS,INDIVIDU
1132,PT MERDEKA BERSAMA JAYA,ARBI LEO,KOMISARIS,INDIVIDU
1133,PT MINERAL JAYA PERSADA,SILVIA YAP,KOMISARIS,INDIVIDU
1134,PT MINERAL JAYA PERSADA,TANTIONO,DIREKTUR,INDIVIDU
1135,PT MINERAL JAYA PERSADA,PT PTMULTITAMA BAKTI GEMILANG,BADAN HUKUM,PERUSAHAAN
1136,PT MINERAL JAYA PERSADA,PT CAKRA PRATAMA ABADI,BADAN HUKUM,PERUSAHAAN
1137,PT MITRA GRAHA RAYA,HESTI ANDI TJAHYANTO,DIREKTUR UTAMA,INDIVIDU
1138,PT MITRA GRAHA RAYA,SHERLY HERLINA,DIREKTUR UTAMA,INDIVIDU
