OBJECTID,PULAU,PEJABAT,ID_PROV,PROVINSI,ID_KAB,KABUPATEN,JENIS_IZIN,BADAN_USAHA,NAMA_PERUSAHAAN,KODE_WIUP,SK_IUP,TANGGAL_BERLAKU,TANGGAL_BERAKHIR,KEGIATAN,LUAS_SK,KOMODITAS,KODE_GOLONGAN,KODE_JNSKOM,CNC,GENERASI,KODE_WIL,LOKASI,GEOMETRY,STATUS_IUP
186597,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,04,KABUPATEN BANGKA TENGAH,WIUP,PT,PT SUKA JAYA BERSAMA,2119046112023001,540/7/WIUP/ESDM_3,2023-01-25,,PENCADANGAN,91.66,PASIR KUARSA,6,11,,,,DESA LUBUK BESAR KECAMATAN LUBUK BESAR,"POLYGON ((106.674202778 -2.568606666999983, 106.674202778 -2.5766666669999836, 106.68331194400002 -2.5766666669999836, 106.68331194400002 -2.571970833000023, 106.68712249999999 -2.571970833000023, 106.68712249999999 -2.5701700000000187, 106.68623194399999 -2.5701700000000187, 106.68623194399999 -2.5699819440000056, 106.68330888899999 -2.5699819440000056, 106.68330888899999 -2.5698147219999896, 106.68038361100002 -2.5698147219999896, 106.68038361100002 -2.5694686109999907, 106.678613611 -2.5694686109999907, 106.678613611 -2.569176389000006, 106.67642000000001 -2.569176389000006, 106.67642000000001 -2.5688602779999883, 106.67529361099997 -2.5688602779999883, 106.67529361099997 -2.5687222220000194, 106.67487194400002 -2.5687222220000194, 106.67487194400002 -2.568606666999983, 106.674202778 -2.568606666999983))",AKTIF
186615,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,KABUPATEN BELITUNG,IUP,CV,CV ELYSKA INDO PLANTATION,2119025472016001,91201047817780003                                                                                   ,2023-07-12,2036-09-28,OPERASI PRODUKSI,89.4,PASIR KUARSA,6,11,CNC,,,"DESA MENTIGI, KECAMATAN MEMBALONG","POLYGON ((107.669111111 -3.1881944439999756, 107.67275000000001 -3.1881944439999756, 107.67275000000001 -3.1880833330000087, 107.67472222200001 -3.1880833330000087, 107.67472222200001 -3.185916667000015, 107.67725000000002 -3.185916667000015, 107.67725000000002 -3.1875555560000066, 107.67819444399998 -3.1875555560000066, 107.67819444399998 -3.1881944439999756, 107.67988888899998 -3.1881944439999756, 107.67988888899998 -3.1889444440000148, 107.68088888900002 -3.1889444440000148, 107.68088888900002 -3.189583332999973, 107.68155555599998 -3.189583332999973, 107.68155555599998 -3.189166666999995, 107.683861111 -3.189166666999995, 107.683861111 -3.1914166669999986, 107.68516666699998 -3.1914166669999986, 107.68516666699998 -3.189166666999995, 107.68433333299998 -3.189166666999995, 107.68433333299998 -3.188805555999977, 107.68352777799998 -3.188805555999977, 107.68352777799998 -3.185555555999997, 107.67966666699999 -3.185555555999997, 107.67966666699999 -3.1803333330000214, 107.676611111 -3.1803333330000214, 107.676611111 -3.1809444439999766, 107.67566666699997 -3.1809444439999766, 107.67566666699997 -3.181500000000028, 107.67486111099998 -3.181500000000028, 107.67486111099998 -3.18208333299998, 107.67399999999998 -3.18208333299998, 107.67399999999998 -3.182638888999975, 107.67316666699998 -3.182638888999975, 107.67316666699998 -3.183249999999987, 107.67230555600003 -3.183249999999987, 107.67230555600003 -3.1837777779999783, 107.67155555599999 -3.1837777779999783, 107.67155555599999 -3.18425000000002, 107.67083333300002 -3.18425000000002, 107.67083333300002 -3.1846388889999844, 107.67027777800001 -3.1846388889999844, 107.67027777800001 -3.1850000000000023, 107.66972222200002 -3.1850000000000023, 107.66972222200002 -3.185416667000027, 107.669111111 -3.185416667000027, 107.669111111 -3.1881944439999756))",AKTIF
186644,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,05,KABUPATEN BANGKA BARAT,WIUP,PT,PT WIRA BUANA SEJAHTERA,2119055102023155,540/10/WIUP/ESDM_3,2023-01-25,,PENCADANGAN,57.19,GRANIT,5,10,,,,"DESA AIR PUTIH, KECAMATAN MUNTOK","POLYGON ((105.16720883699998 -1.9933333330000096, 105.16720883699998 -2.003363841999999, 105.17154392600003 -2.003363841999999, 105.17154392600003 -2.001918052999997, 105.17185818899998 -2.001918052999997, 105.17185818899998 -1.997475731999998, 105.17341666700003 -1.997475731999998, 105.17341666700003 -1.994555556000023, 105.17155555599999 -1.994555556000023, 105.17155555599999 -1.9952499999999986, 105.16955555599998 -1.9952499999999986, 105.16955555599998 -1.9933333330000096, 105.16720883699998 -1.9933333330000096))",AKTIF
186645,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,06,KABUPATEN BELITUNG TIMUR,WIUP,PT,PT DUTA WATU GEOTEK,2119066112023159,540/11/WIUP/ESDM_3,2023-01-25,,PENCADANGAN,99.93,PASIR KUARSA,6,11,,,,DESA BATU PENYU KECAMATAN GANTUNG,"POLYGON ((108.17713055600001 -3.0494811109999773, 108.19517583300001 -3.0494811109999773, 108.19517583300001 -3.0473288890000276, 108.19025722200001 -3.0473288890000276, 108.19025722200001 -3.0445947219999994, 108.18817944400001 -3.0445947219999994, 108.18817944400001 -3.0485541670000202, 108.18535833300001 -3.0485541670000202, 108.18535833300001 -3.0445911109999884, 108.18340111100002 -3.0445911109999884, 108.18340111100002 -3.0424433329999943, 108.18441999999999 -3.0424433329999943, 108.18441999999999 -3.0391063889999828, 108.18338972200002 -3.0391063889999828, 108.18338972200002 -3.0377544439999724, 108.18136750000002 -3.0377544439999724, 108.18136750000002 -3.044574721999993, 108.17713055600001 -3.044574721999993, 108.17713055600001 -3.0494811109999773))",AKTIF
186652,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,01,KABUPATEN BANGKA,IUP,PT,PT BERKAH BERMUDA ENERGI,2119016112023003,02050101324570014                                                                                   ,2023-02-10,2030-02-10,EKSPLORASI,97.81,PASIR KUARSA,6,11,CNC,,,PERAIRAN LAUT REBO,"POLYGON ((106.19345583299997 -1.8880502779999802, 106.19345583299997 -1.9003030559999843, 106.199944722 -1.9003030559999843, 106.199944722 -1.8880502779999802, 106.19345583299997 -1.8880502779999802))",AKTIF
186663,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,06,KABUPATEN BELITUNG TIMUR,IUP,PT,PT MITRA BUMI UTAMA,2119066112018001,188.4/289/ESDM/DPMPTSP/2018                                                                         ,2018-07-20,2028-07-20,OPERASI PRODUKSI,197.72,PASIR KUARSA,6,11,CNC,,,"DESA SIMPANG PESAK, KECAMATAN SIMPANG PESAK","POLYGON ((107.95588055600001 -3.0913888889999726, 107.94353611100001 -3.0913888889999726, 107.94353611100001 -3.083633333000023, 107.93740277799998 -3.083633333000023, 107.93740277799998 -3.0942138890000024, 107.94371111100003 -3.0942138890000024, 107.94371111100003 -3.0996000000000095, 107.953405556 -3.0996000000000095, 107.953405556 -3.094138889000021, 107.95494444399998 -3.094138889000021, 107.95494444399998 -3.0931638889999817, 107.956763889 -3.0931638889999817, 107.956763889 -3.0923888890000057, 107.95899444399998 -3.0923888890000057, 107.95899444399998 -3.091788888999986, 107.960519444 -3.091788888999986, 107.960519444 -3.0902444440000068, 107.95588055600001 -3.0902444440000068, 107.95588055600001 -3.0913888889999726))",AKTIF
186670,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,KABUPATEN BELITUNG,WIUP,CV,CV PANDU BELITUNG MAKMUR,2119026112023009,,,,PENCADANGAN,39.74,PASIR KUARSA,6,11,,,,DESA PADANG KANDIS KECAMATAN MEMBALONG,"POLYGON ((107.64736111100001 -3.2108749999999873, 107.64736111100001 -3.213555556000017, 107.64855555600002 -3.213555556000017, 107.64855555600002 -3.2160277780000115, 107.64944444399998 -3.2160277780000115, 107.64944444399998 -3.217638889, 107.65055555599997 -3.217638889, 107.65055555599997 -3.2183055560000184, 107.65144444399999 -3.2183055560000184, 107.65144444399999 -3.2188750000000255, 107.65227777799998 -3.2188750000000255, 107.65227777799998 -3.2205000000000155, 107.65327777800002 -3.2205000000000155, 107.65327777800002 -3.2223055559999807, 107.65455555599999 -3.2223055559999807, 107.65455555599999 -3.2205000000000155, 107.65588888899998 -3.2205000000000155, 107.65588888899998 -3.2174722220000262, 107.65302777800002 -3.2174722220000262, 107.65302777800002 -3.2161388889999785, 107.65230555599999 -3.2161388889999785, 107.65230555599999 -3.2151666670000054, 107.65075000000002 -3.2151666670000054, 107.65075000000002 -3.213944443999992, 107.64941666700003 -3.213944443999992, 107.64941666700003 -3.2108749999999873, 107.64736111100001 -3.2108749999999873))",AKTIF
186691,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,06,BELITUNG TIMUR,IUP,PT,PT ALBETA MAJU SUKSES,2119065182021077,188.4/067/ESDM/DPMPTSP/2020,2020-06-29,2030-06-29,OPERASI PRODUKSI,129.7,TANAH LIAT,5,18,CNC,,,TANJUNG KELUMPANG DAN TANJUNG BATU ITAM SIMPANG PESAK ,"POLYGON ((108.01902777800001 -3.192152777999979, 108.01902777800001 -3.192583333000016, 108.017583333 -3.192583333000016, 108.017583333 -3.193125000000009, 108.01600000000002 -3.193125000000009, 108.01600000000002 -3.1935555559999784, 108.014486111 -3.1935555559999784, 108.014486111 -3.194250000000011, 108.01291666700001 -3.194250000000011, 108.01291666700001 -3.194888889000026, 108.01494444399998 -3.194888889000026, 108.01494444399998 -3.1939166669999963, 108.01683333300002 -3.1939166669999963, 108.01683333300002 -3.19343055600001, 108.02105555600002 -3.19343055600001, 108.02105555600002 -3.204138888999978, 108.029597222 -3.204138888999978, 108.029597222 -3.19830555599998, 108.03063888899999 -3.19830555599998, 108.03063888899999 -3.1932499999999777, 108.02111111099998 -3.1932499999999777, 108.02111111099998 -3.192152777999979, 108.01902777800001 -3.192152777999979))",AKTIF
186695,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,01,KABUPATEN BANGKA,IUP,PT,PT MINERAL BANGKA SEJATI,3119012172014212,02022200349230015                                                                                   ,2024-08-21,2034-08-21,OPERASI PRODUKSI,197.8,TIMAH,2,11,CNC-18,,,"DESA RIDING PANJANG, KECAMATAN BELINYU","POLYGON ((105.77371666699997 -1.706975, 105.77542499999998 -1.706975, 105.77542499999998 -1.710322222000002, 105.77605555600002 -1.710322222000002, 105.77605555600002 -1.7115861109999742, 105.78261944399998 -1.7115861109999742, 105.78261944399998 -1.7128527780000127, 105.78351944399998 -1.7128527780000127, 105.78351944399998 -1.713666666999984, 105.78450833300002 -1.713666666999984, 105.78450833300002 -1.714661110999998, 105.78486666700002 -1.714661110999998, 105.78486666700002 -1.7152027779999912, 105.78531666700002 -1.7152027779999912, 105.78531666700002 -1.7160166670000194, 105.785947222 -1.7160166670000194, 105.785947222 -1.7170111109999766, 105.78738611099999 -1.7170111109999766, 105.78738611099999 -1.71800555599998, 105.79008333299998 -1.71800555599998, 105.79008333299998 -1.7161055560000023, 105.79079999999999 -1.7161055560000023, 105.79079999999999 -1.714277777999996, 105.78553888900001 -1.714277777999996, 105.78553888900001 -1.7086888889999727, 105.79115555599998 -1.7086888889999727, 105.79115555599998 -1.7007277779999868, 105.78719999999998 -1.7007277779999868, 105.78719999999998 -1.7047361109999883, 105.77822777799997 -1.7047361109999883, 105.77822777799997 -1.7009861110000202, 105.77199722199998 -1.7009861110000202, 105.77199722199998 -1.698372221999989, 105.77088055600001 -1.698372221999989, 105.77088055600001 -1.7028888890000076, 105.77175555600002 -1.7028888890000076, 105.77175555600002 -1.7040999999999826, 105.77371666699997 -1.7040999999999826, 105.77371666699997 -1.706975))",AKTIF
187161,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,KABUPATEN BELITUNG,WIUP,CV,CV PANDU BELITUNG MAKMUR,2119026112023010,540/15/WIUP/ESDM_3,2023-02-27,,PENCADANGAN,39.7,PASIR KUARSA,6,11,,,,DESA PADANG KANDIS KECAMATAN MEMBALONG,"POLYGON ((107.65996388899998 -3.209666667000022, 107.65996388899998 -3.214094444000011, 107.65666666700002 -3.214094444000011, 107.65666666700002 -3.2161944439999957, 107.65357222199998 -3.2161944439999957, 107.65357222199998 -3.2176222219999886, 107.659625 -3.2176222219999886, 107.659625 -3.216000000000008, 107.66144722199999 -3.216000000000008, 107.66144722199999 -3.214430556000025, 107.66270833300001 -3.214430556000025, 107.66270833300001 -3.2127249999999776, 107.66368888900001 -3.2127249999999776, 107.66368888900001 -3.2114944439999817, 107.66273611100002 -3.2114944439999817, 107.66273611100002 -3.209666667000022, 107.65996388899998 -3.209666667000022))",AKTIF
